Systolique (mmHg)
164
172
208
171
155
164
163
149
158
143
163
146
144
138
137
147
136
139
123
141
139
148
134
130
137
133
132
156
163
137
154
132
130
155
147
132
142
129
119
125
139
123
124
129
134
126
123
139
131
162
176
